Permanent Tournament #,Event Name,Course Name,Player Name,Avg Drive Distance,Fairway Hit Percentage
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kelly Kraft,271.07,78.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kevin Chappell,289.34,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kevin Kisner,277.21,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kevin Na,270.5,78.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kevin Streelman,280.14,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kyle Reifers,271.43,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Kyle Stanley,280.23,69.64
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Louis Oosthuizen,282.59,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Lucas Glover,282,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Luke List,287.07,66.07
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Mackenzie Hughes,273.5,39.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Marc Leishman,283.68,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Martin Kaymer,276.75,80.36
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Martin Laird,281.11,69.64
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Matt Every,274.84,46.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Matthew Fitzpatrick,275.32,62.5
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Matthias Schwab,283.57,85.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Michael Kim,278.45,76.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Morgan Hoffmann,280.57,82.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Ollie Schniederjans,291.77,50
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Pat Perez,276.82,66.07
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Patrick Rodgers,281.11,50
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Patton Kizzire,272.5,46.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Paul Casey,276.8,62.5
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Retief Goosen,273.18,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Rickie Fowler,277.89,76.79
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Rob Oppenheim,269.18,50
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Robby Shelton,277.93,42.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Robert Gamez,250.04,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Roberto Castro,266.5,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Rod Pampling,274.64,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Rory McIlroy,294.95,55.36
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Russell Henley,275.66,73.21
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Ryan Moore,270.11,80.36
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Ryan Ruffels,283.38,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Sam Saunders,275.36,67.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Scott Brown,272.68,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Sean O'Hair,280.79,82.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Seung-Yul Noh,275.96,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Si Woo Kim,283.96,58.93
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Smylie Kaufman,282.71,46.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Steve Wheatcroft,270.39,80.36
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Steven Bowditch,274.93,42.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Stewart Cink,280.66,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Thomas Pieters,277.04,53.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Thorbjørn Olesen,269.25,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Tim Herron,271,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Tommy Fleetwood,281.13,78.57
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Tony Finau,287.66,71.43
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Trevor Immelman,272.82,42.86
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Troy Merritt,275.79,60.71
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Tyrrell Hatton,283.32,64.29
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Vaughn Taylor,269.93,69.64
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Vijay Singh,278.04,75
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Webb Simpson,272.89,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Wesley Bryan,271.16,66.07
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,William McGirt,270.11,57.14
9,Arnold Palmer Invitational presented by Mastercard,Bay Hill Club & Lodge,Zach Johnson,273.63,78.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Alex Cejka,287.68,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Alex Moon,283.25,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Andres Gonzales,300.79,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Andrew Loupe,306.75,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ángel Cabrera,293.46,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Anirban Lahiri,299.25,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Austin Smotherman,292.46,64.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Beau Hossler,295.73,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ben Crane,283.46,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ben Polland,291.36,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Billy Horschel,295.09,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Billy Hurley III,276.75,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Bob Estes,276.79,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Bobby Gates,284.43,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Bobby Wyatt,287.86,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Boo Weekley,290.48,71.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brad Fritsch,279.04,21.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brandon Hagy,310.64,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brandt Snedeker,279.39,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brendon Todd,271.55,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brett Drewitt,290.46,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brett Stegmaier,291.48,66.07
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brian Campbell,299.39,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brian Gay,279.86,55.36
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brian Stuard,277.21,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Brooks Koepka,310.25,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Bryce Molder,272.57,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Bryson DeChambeau,311,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Bud Cauley,293.14,48.21
19,AT&T Byron Nelson,TPC Four Seasons Resort,Byeong Hun An,298.21,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,C.T. Pan,287.43,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Cameron Percy,300.64,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Cameron Tringale,276.7,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Carl Pettersson,281.46,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Chad Campbell,282.98,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Chad Collins,280.79,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Charl Schwartzel,299.5,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Charley Hoffman,300.63,55.36
19,AT&T Byron Nelson,TPC Four Seasons Resort,Charlie Beljan,311.46,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Chez Reavie,282.25,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Chris Stroud,287.75,64.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Cody Gribble,286.14,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,D.A. Points,279.39,48.21
19,AT&T Byron Nelson,TPC Four Seasons Resort,Daniel Summerhays,287.16,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Danny Lee,286.8,55.36
19,AT&T Byron Nelson,TPC Four Seasons Resort,Dominic Bozzelli,295.3,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Dustin Johnson,310.2,48.21
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ernie Els,283.5,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Fabrizio Zanotti,290.82,64.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Freddie Jacobson,289.61,28.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Gary Woodland,297.73,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Geoff Ogilvy,289.05,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Gonzalo Fdez-Castaño,292.96,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Graham DeLaet,293.46,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Grayson Murray,297.91,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Greg Chalmers,279.48,41.07
19,AT&T Byron Nelson,TPC Four Seasons Resort,Greg Owen,291.25,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Harris English,295.32,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Hudson Swafford,300.29,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Hunter Mahan,296.14,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ian Poulter,279.54,58.93
19,AT&T Byron Nelson,TPC Four Seasons Resort,J.B. Holmes,317.32,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,J.J. Henry,297.77,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,J.J. Spaun,286.8,62.5
19,AT&T Byron Nelson,TPC Four Seasons Resort,J.T. Poston,296.18,64.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,James Hahn,288.39,69.64
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jamie Lovemark,311.8,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jason Bohn,275.3,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jason Day,301.11,58.93
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jason Dufner,293.66,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jason Kokrak,298.32,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jhonattan Vegas,295.5,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Joel Dahmen,299.75,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,John Huh,278.61,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,John Merrick,280.68,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,John Peterson,280.07,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jonathan Randolph,292.29,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Jordan Spieth,300.5,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Julián Etulain,294.61,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Keegan Bradley,293.93,58.93
19,AT&T Byron Nelson,TPC Four Seasons Resort,Kelly Kraft,292.5,28.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ken Duke,277.63,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Kevin Tway,307.89,41.07
19,AT&T Byron Nelson,TPC Four Seasons Resort,Kramer Hickok,295.89,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Kyle Reifers,289.13,58.93
19,AT&T Byron Nelson,TPC Four Seasons Resort,Louis Oosthuizen,296.88,62.5
19,AT&T Byron Nelson,TPC Four Seasons Resort,Marc Leishman,295.11,58.93
19,AT&T Byron Nelson,TPC Four Seasons Resort,Mark Anderson,290.75,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Mark Hubbard,287.61,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Martin Flores,301.39,17.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Matt Every,297.68,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Matt Jones,302.36,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Matt Kuchar,289.43,64.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Max Homa,300.43,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Michael Kim,285.25,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Michael Putnam,291.71,44.64
19,AT&T Byron Nelson,TPC Four Seasons Resort,Michael Thompson,285.04,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Miguel Angel Carballo,294.43,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Morgan Hoffmann,299.7,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Nicholas Lindheim,277.39,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Nick Taylor,290.86,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Nick Watney,299.34,48.21
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ollie Schniederjans,299.7,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Patrick Reed,291.73,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Patrick Rodgers,293.59,37.5
19,AT&T Byron Nelson,TPC Four Seasons Resort,Paul Earnest,271.5,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Peter Malnati,280.18,44.64
19,AT&T Byron Nelson,TPC Four Seasons Resort,Richy Werenski,292.04,64.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Rick Lamb,294.5,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ricky Barnes,284.77,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Robby Shelton,296.11,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Robert Garrigus,306.96,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Robert Streb,287.32,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Rod Pampling,283.14,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Rory Sabbatini,287,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Russell Henley,289.29,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ryan Armour,274.18,66.07
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ryan Blaum,285.5,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ryan Brehm,306.38,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ryan Moore,290.61,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ryan Palmer,303.64,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Ryo Ishikawa,294.36,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Sam Saunders,292.07,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Scott Brown,289.09,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Scott Piercy,290.8,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Scott Stallings,303,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Seamus Power,290.88,55.36
19,AT&T Byron Nelson,TPC Four Seasons Resort,Sean Kelly,300.29,60.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Sean O'Hair,302.43,55.36
19,AT&T Byron Nelson,TPC Four Seasons Resort,Sebastián Muñoz,297.46,33.93
19,AT&T Byron Nelson,TPC Four Seasons Resort,Sergio Garcia,299.77,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Seung-Yul Noh,303.11,32.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Shane Bertsch,284.79,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Shawn Stefani,292.5,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Smylie Kaufman,303.18,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Spencer Levin,282.66,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Steve Wheatcroft,283.96,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Steven Alker,278.18,57.14
19,AT&T Byron Nelson,TPC Four Seasons Resort,Steven Bowditch,292.32,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Stuart Appleby,281.32,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Stuart Deane,286.11,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Sung Kang,291.91,46.43
19,AT&T Byron Nelson,TPC Four Seasons Resort,Tag Ridings,296.82,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Tim Wilkinson,276.96,50
19,AT&T Byron Nelson,TPC Four Seasons Resort,Tom Hoge,295.21,37.5
19,AT&T Byron Nelson,TPC Four Seasons Resort,Tony Finau,307.45,51.79
19,AT&T Byron Nelson,TPC Four Seasons Resort,Trey Mullinax,297.29,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Tyler Aldridge,290.54,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Tyrone Van Aswegen,294,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Whee Kim,292.5,25
19,AT&T Byron Nelson,TPC Four Seasons Resort,Will MacKenzie,286.11,39.29
19,AT&T Byron Nelson,TPC Four Seasons Resort,Willy Wilcox,291.98,42.86
19,AT&T Byron Nelson,TPC Four Seasons Resort,Xander Schauffele,304.71,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Y.E. Yang,282.39,35.71
19,AT&T Byron Nelson,TPC Four Seasons Resort,Zac Blair,278.2,53.57
19,AT&T Byron Nelson,TPC Four Seasons Resort,Zack Sucher,298.5,46.43
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Adam Hadwin,265.86,75
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Alex Cejka,251.25,71.43
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Andres Gonzales,263.64,67.86
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Andrew Johnston,262.21,71.43
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Andrew Loupe,271.29,78.57
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Beau Hossler,266.36,78.57
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Ben Martin,261.57,100
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Billy Hurley III,256.71,64.29
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Bob Estes,242.5,71.43
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Bobby Wyatt,263.21,71.43
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Brad Fritsch,267.36,71.43
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Brandon Hagy,283.18,64.29
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Brandt Snedeker,266.96,75
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Brendon de Jonge,249.36,85.71
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Brendon Todd,252.71,64.29
5,AT&T Pebble Beach Pro-Am,Pebble Beach GL,Brett Coletta,279.29,42.86
